filename,detector,pixel_x,pixel_y,ra_deg,dec_deg
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3783.368421,1941.684211,269.7013889440,66.0324632828
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3988.000000,1941.684211,269.6859734691,66.0324660742
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,100.000000,2146.315789,269.9792470414,66.0385973434
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,304.631579,2146.315789,269.9637899309,66.0385975406
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,509.263158,2146.315789,269.9483330953,66.0385978476
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,713.894737,2146.315789,269.9328769043,66.0385982474
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,918.526316,2146.315789,269.9174216615,66.0385987281
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1123.157895,2146.315789,269.9019676131,66.0385992821
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1327.789474,2146.315789,269.8865149563,66.0385999062
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1532.421053,2146.315789,269.8710638481,66.0386006004
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1737.052632,2146.315789,269.8556144135,66.0386013678
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1941.684211,2146.315789,269.8401667542,66.0386022142
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2146.315789,2146.315789,269.8247209570,66.0386031472
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2350.947368,2146.315789,269.8092771026,66.0386041761
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2555.578947,2146.315789,269.7938352741,66.0386053113
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2760.210526,2146.315789,269.7783955652,66.0386065640
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2964.842105,2146.315789,269.7629580891,66.0386079452
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3169.473684,2146.315789,269.7475229871,66.0386094659
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3374.105263,2146.315789,269.7320904367,66.0386111364
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3578.736842,2146.315789,269.7166606605,66.0386129657
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3783.368421,2146.315789,269.7012339350,66.0386149612
